% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 40.42    1.125239         634      1776        13 futex
 24.09    0.670686        2806       239           epoll_wait
 17.85    0.496917          16     30507           sched_yield
 12.78    0.355682        1174       303           ppoll
  2.21    0.061580          54      1130       516 read
  0.70    0.019477          37       524           write
  0.50    0.013849         140        99           mprotect
  0.46    0.012934          35       374           madvise
  0.18    0.005041        1008         5         1 wait4
  0.12    0.003420          46        74           readv
  0.10    0.002765           7       424           timerfd_settime
  0.08    0.002277          11       206           mmap
  0.08    0.002246          13       178           lstat
  0.07    0.001833           8       240        71 openat
  0.06    0.001669           5       356       186 stat
  0.06    0.001539           7       219         2 close
  0.06    0.001539           4       349       190 access
  0.04    0.001122           7       150           fstat
  0.04    0.001045          27        39           munmap
  0.01    0.000308           7        42           fcntl
  0.01    0.000285           5        53           rt_sigprocmask
  0.01    0.000267          12        22           getdents
  0.01    0.000255          10        26           set_robust_list
  0.01    0.000241          10        23           prctl
  0.01    0.000220          14        16           readlink
  0.01    0.000158          12        13           epoll_ctl
  0.01    0.000153           5        31           brk
  0.01    0.000149          12        12           pipe
  0.00    0.000137           5        29           clone
  0.00    0.000136          19         7           writev
  0.00    0.000106          15         7         1 select
  0.00    0.000102           3        31           rt_sigaction
  0.00    0.000047          12         4           ioctl
  0.00    0.000041           8         5           getcwd
  0.00    0.000038          10         4           prlimit64
  0.00    0.000035           6         6           uname
  0.00    0.000034          17         2         2 statfs
  0.00    0.000028          28         1           sendmsg
  0.00    0.000027          14         2           recvmsg
  0.00    0.000024          12         2           epoll_create
  0.00    0.000024          12         2           timerfd_create
  0.00    0.000020          10         2           sched_getaffinity
  0.00    0.000019          10         2           clock_getres
  0.00    0.000017           4         4           getpid
  0.00    0.000017           9         2           set_tid_address
  0.00    0.000015           2         7           arch_prctl
  0.00    0.000014          14         1           kill
  0.00    0.000013          13         1           sysinfo
  0.00    0.000011          11         1           dup
  0.00    0.000010           3         4         1 rt_sigreturn
  0.00    0.000009           9         1           lseek
  0.00    0.000000           0         9           dup2
  0.00    0.000000           0         3           socket
  0.00    0.000000           0         2         2 connect
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         3           setsockopt
  0.00    0.000000           0         3           getsockopt
  0.00    0.000000           0         7           execve
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         2           getuid
  0.00    0.000000           0         2           getgid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         2           getegid
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         2           setsid
------ ----------- ----------- --------- --------- ----------------
100.00    2.783820                 37602       985 total
