% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 58.55    1.254833        2249       558        14 futex
 14.43    0.309179        1158       267           epoll_wait
 11.52    0.246850          13     18699           sched_yield
  8.38    0.179654         474       379           ppoll
  2.34    0.050133          37      1358       630 read
  1.45    0.031151          49       638           write
  1.20    0.025675         259        99           mprotect
  0.46    0.009913          20       499           timerfd_settime
  0.38    0.008102          39       208           mmap
  0.30    0.006399          18       349       190 access
  0.29    0.006224          16       400           madvise
  0.13    0.002735           8       356       186 stat
  0.10    0.002207          12       178           lstat
  0.09    0.001871          25        74           readv
  0.08    0.001685           7       240        71 openat
  0.05    0.001167           5       219         2 close
  0.04    0.000837           6       150           fstat
  0.03    0.000642          16        39           munmap
  0.03    0.000586          11        53           rt_sigprocmask
  0.02    0.000476          22        22           getdents
  0.02    0.000409          16        26           set_robust_list
  0.02    0.000397          14        29           clone
  0.02    0.000350          15        23           prctl
  0.01    0.000219           5        42           fcntl
  0.01    0.000216          14        16           readlink
  0.01    0.000177           6        31           brk
  0.01    0.000134           4        31           rt_sigaction
  0.01    0.000113           9        13           epoll_ctl
  0.00    0.000087           7        12           pipe
  0.00    0.000075          11         7         1 select
  0.00    0.000054           9         6           uname
  0.00    0.000047          16         3           socket
  0.00    0.000037           9         4           ioctl
  0.00    0.000037          12         3           getsockopt
  0.00    0.000034          11         3           setsockopt
  0.00    0.000027           7         4           prlimit64
  0.00    0.000026          26         1           socketpair
  0.00    0.000023           6         4           getpid
  0.00    0.000022           6         4           geteuid
  0.00    0.000021          11         2           timerfd_create
  0.00    0.000020           4         5         1 wait4
  0.00    0.000020          10         2           epoll_create
  0.00    0.000019          10         2           sched_getaffinity
  0.00    0.000018           9         2           clock_getres
  0.00    0.000016          16         1           kill
  0.00    0.000016           2         7           arch_prctl
  0.00    0.000014          14         1           bind
  0.00    0.000013          13         1           sysinfo
  0.00    0.000012           6         2           recvmsg
  0.00    0.000012          12         1           getsockname
  0.00    0.000012           2         5           getcwd
  0.00    0.000008           8         1           lseek
  0.00    0.000008           4         2           set_tid_address
  0.00    0.000007           1         7           execve
  0.00    0.000006           3         2           getuid
  0.00    0.000006           3         2           getgid
  0.00    0.000006           3         2           getegid
  0.00    0.000005           3         2           getppid
  0.00    0.000000           0         4         1 rt_sigreturn
  0.00    0.000000           0         7           writev
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         9           dup2
  0.00    0.000000           0         2         2 connect
  0.00    0.000000           0         1           sendmsg
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         2           setsid
  0.00    0.000000           0         2         2 statfs
------ ----------- ----------- --------- --------- ----------------
100.00    2.143042                 25125      1100 total
