% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 44.95    1.373150         586      2342        30 futex
 20.97    0.640735          17     36656           sched_yield
 17.32    0.529199        2151       246           epoll_wait
 13.09    0.399925        1581       253           ppoll
  1.71    0.052324          49      1062       482 read
  0.64    0.019543          40       490           write
  0.41    0.012597          61       205           mmap
  0.16    0.004897         979         5         1 wait4
  0.12    0.003709          54        69           readv
  0.08    0.002582           8       339       185 access
  0.08    0.002317           6       378           madvise
  0.06    0.001951           6       341       176 stat
  0.06    0.001709           7       235        71 openat
  0.05    0.001678           4       457           timerfd_settime
  0.05    0.001585           9       178           lstat
  0.04    0.001185           6       214         2 close
  0.04    0.001106          11        99           mprotect
  0.03    0.000891           6       145           fstat
  0.03    0.000845          23        36           munmap
  0.01    0.000441           8        53           rt_sigprocmask
  0.01    0.000327          13        26           set_robust_list
  0.01    0.000302          13        23           prctl
  0.01    0.000288          10        29           clone
  0.01    0.000222           5        42           fcntl
  0.01    0.000221          10        22           getdents
  0.01    0.000159          10        16           readlink
  0.00    0.000149           5        31           brk
  0.00    0.000110           8        13           epoll_ctl
  0.00    0.000093           8        12           pipe
  0.00    0.000091           3        31           rt_sigaction
  0.00    0.000037           9         4           ioctl
  0.00    0.000035           7         5           getcwd
  0.00    0.000035          18         2         2 statfs
  0.00    0.000033           5         7         1 select
  0.00    0.000032           5         7           arch_prctl
  0.00    0.000030           5         6           uname
  0.00    0.000028          28         1           sendmsg
  0.00    0.000028           7         4           prlimit64
  0.00    0.000027          27         1           socketpair
  0.00    0.000018           9         2           sched_getaffinity
  0.00    0.000017           9         2           set_tid_address
  0.00    0.000015           4         4           getpid
  0.00    0.000014          14         1           kill
  0.00    0.000014           7         2           epoll_create
  0.00    0.000013          13         1           sysinfo
  0.00    0.000012           6         2           timerfd_create
  0.00    0.000011          11         1           dup
  0.00    0.000011           6         2           clock_getres
  0.00    0.000008           1         7           execve
  0.00    0.000006           6         1           lseek
  0.00    0.000006           3         2           writev
  0.00    0.000000           0         4         2 rt_sigreturn
  0.00    0.000000           0         9           dup2
  0.00    0.000000           0         3           socket
  0.00    0.000000           0         2         2 connect
  0.00    0.000000           0         2           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         3           setsockopt
  0.00    0.000000           0         3           getsockopt
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         2           getuid
  0.00    0.000000           0         2           getgid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         2           getegid
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         2           setsid
------ ----------- ----------- --------- --------- ----------------
100.00    3.054761                 44155       954 total
