% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 45.08    0.556149        1452       383        51 futex
 21.16    0.261075        7911        33           epoll_wait
 19.89    0.245418          14     18043           sched_yield
  7.33    0.090430         351       258           ppoll
  2.99    0.036919          55       676       289 read
  1.07    0.013143          44       297           write
  0.61    0.007551          20       382           madvise
  0.25    0.003057           9       341       176 stat
  0.24    0.002986           9       339       185 access
  0.22    0.002665         533         5         1 wait4
  0.18    0.002166          12       178           lstat
  0.17    0.002100          10       203           mmap
  0.12    0.001419           6       235        71 openat
  0.09    0.001149           5       214         2 close
  0.07    0.000918          13        69           readv
  0.07    0.000913           9        99           mprotect
  0.07    0.000821           6       145           fstat
  0.05    0.000629          12        53           rt_sigprocmask
  0.04    0.000523          15        35           munmap
  0.04    0.000447          17        26           set_robust_list
  0.04    0.000445          20        22           getdents
  0.03    0.000428          15        29           clone
  0.03    0.000384          17        23           prctl
  0.03    0.000311           5        59           timerfd_settime
  0.02    0.000264           6        42           fcntl
  0.02    0.000216          14        16           readlink
  0.01    0.000132           4        31           brk
  0.01    0.000108           3        31           rt_sigaction
  0.01    0.000102           9        12           pipe
  0.01    0.000096           7        13           epoll_ctl
  0.01    0.000075          11         7         1 select
  0.01    0.000063          16         4         2 rt_sigreturn
  0.00    0.000052           9         6           uname
  0.00    0.000036           9         4           prlimit64
  0.00    0.000033          11         3           getsockopt
  0.00    0.000033          17         2         2 statfs
  0.00    0.000028          14         2           recvmsg
  0.00    0.000027           5         5           getcwd
  0.00    0.000026          26         1           socketpair
  0.00    0.000026           9         3           setsockopt
  0.00    0.000023           8         3           socket
  0.00    0.000023          23         1           sendmsg
  0.00    0.000021           5         4           ioctl
  0.00    0.000020          10         2           timerfd_create
  0.00    0.000019          10         2           epoll_create
  0.00    0.000019          10         2           clock_getres
  0.00    0.000018           9         2           sched_getaffinity
  0.00    0.000017           4         4           getpid
  0.00    0.000017          17         1           bind
  0.00    0.000016           8         2           set_tid_address
  0.00    0.000013          13         1           sysinfo
  0.00    0.000009           9         1           getsockname
  0.00    0.000009           1         7           arch_prctl
  0.00    0.000008           8         1           lseek
  0.00    0.000008           8         1           dup
  0.00    0.000006           3         2           writev
  0.00    0.000000           0         9           dup2
  0.00    0.000000           0         2         2 connect
  0.00    0.000000           0         7           execve
  0.00    0.000000           0         1           kill
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         2           getuid
  0.00    0.000000           0         2           getgid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         2           getegid
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         2           setsid
------ ----------- ----------- --------- --------- ----------------
100.00    1.233609                 22399       782 total
