% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 96.11    0.461347         472       978       122 futex
  0.95    0.004567          12       381           mmap
  0.80    0.003817           9       420           mprotect
  0.39    0.001865           3       555           gettid
  0.28    0.001349           9       144        51 openat
  0.22    0.001079          14        78           read
  0.13    0.000644           7        95           fstat
  0.13    0.000640           7        95           close
  0.10    0.000489           6        76           rt_sigprocmask
  0.09    0.000432          13        33           munmap
  0.09    0.000431           4       109           sysinfo
  0.09    0.000418          21        20           write
  0.07    0.000347           7        48           sched_getaffinity
  0.06    0.000303          25        12           madvise
  0.05    0.000251           8        33         1 lstat
  0.05    0.000238          11        21           clone
  0.04    0.000192           9        22           set_robust_list
  0.04    0.000175           9        20           prctl
  0.03    0.000166           7        25           rt_sigaction
  0.03    0.000162           3        52        34 stat
  0.03    0.000160           8        20           lseek
  0.03    0.000144           6        25           getpid
  0.03    0.000125           8        15        14 access
  0.02    0.000106          15         7           sched_yield
  0.02    0.000096          14         7           pread64
  0.02    0.000084          21         4           getdents
  0.01    0.000055           9         6           prlimit64
  0.01    0.000045          23         2         2 connect
  0.01    0.000042           8         5           geteuid
  0.01    0.000039          20         2           ftruncate
  0.01    0.000036          12         3           uname
  0.01    0.000036           9         4           fchdir
  0.01    0.000034          17         2           socket
  0.01    0.000030          10         3           clock_getres
  0.00    0.000018           6         3           brk
  0.00    0.000016           8         2           readlink
  0.00    0.000011          11         1         1 mkdir
  0.00    0.000010           3         4           fcntl
  0.00    0.000009           9         1           getegid
  0.00    0.000009           9         1           set_tid_address
  0.00    0.000008           4         2           getuid
  0.00    0.000008           8         1           getgid
  0.00    0.000008           8         1           arch_prctl
  0.00    0.000000           0         1           nanosleep
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           unlink
  0.00    0.000000           0         4           getrusage
------ ----------- ----------- --------- --------- ----------------
100.00    0.480041                  3346       225 total
