% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.78    0.268480         271       991       121 futex
  1.06    0.003007           7       416           mprotect
  0.82    0.002324           6       380           mmap
  0.66    0.001880          13       142        51 openat
  0.34    0.000959          13        76           read
  0.29    0.000814           2       533           gettid
  0.25    0.000695           7        93           close
  0.24    0.000679           7        93           fstat
  0.22    0.000635          12        52        34 stat
  0.14    0.000391          12        33         1 lstat
  0.13    0.000371           5        76           rt_sigprocmask
  0.11    0.000317          16        20           write
  0.10    0.000288           6        48           sched_getaffinity
  0.09    0.000266           8        33           munmap
  0.09    0.000255          10        25           rt_sigaction
  0.08    0.000216          10        22           set_robust_list
  0.06    0.000183           9        21           clone
  0.06    0.000168           8        20           prctl
  0.06    0.000166           8        20           lseek
  0.05    0.000151          13        12           madvise
  0.05    0.000149          10        15        14 access
  0.05    0.000145           6        25           getpid
  0.04    0.000103           1        99           sysinfo
  0.03    0.000077          19         4           getdents
  0.02    0.000059          15         4           getrusage
  0.02    0.000053           9         6           prlimit64
  0.02    0.000051           5        10           sched_yield
  0.02    0.000044           9         5           geteuid
  0.01    0.000041          21         2         2 connect
  0.01    0.000041          21         2           ftruncate
  0.01    0.000036           9         4           fchdir
  0.01    0.000032          16         2           socket
  0.01    0.000028           7         4           fcntl
  0.01    0.000026           9         3           clock_getres
  0.01    0.000019           6         3           brk
  0.01    0.000017           6         3           uname
  0.01    0.000015           8         2           readlink
  0.00    0.000013           7         2           getuid
  0.00    0.000012           2         7           pread64
  0.00    0.000012          12         1         1 mkdir
  0.00    0.000009           9         1           arch_prctl
  0.00    0.000008           8         1           getgid
  0.00    0.000008           8         1           getegid
  0.00    0.000008           8         1           set_tid_address
  0.00    0.000006           6         1           getcwd
  0.00    0.000000           0         1           nanosleep
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           unlink
------ ----------- ----------- --------- --------- ----------------
100.00    0.283257                  3317       224 total
