% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.31    0.305800         546       560       103 futex
  1.11    0.003563          10       364           mmap
  0.87    0.002800           8       333           mprotect
  0.55    0.001755          13       135        51 openat
  0.32    0.001040          15        69           read
  0.28    0.000907           4       243           gettid
  0.26    0.000833          10        86           close
  0.25    0.000799           9        86           fstat
  0.11    0.000362          11        32           munmap
  0.11    0.000349          11        33         1 lstat
  0.10    0.000326           7        50        34 stat
  0.09    0.000290           5        54           sysinfo
  0.07    0.000209           4        56           rt_sigprocmask
  0.06    0.000205           8        25           rt_sigaction
  0.06    0.000195          10        20           lseek
  0.05    0.000174           5        38           sched_getaffinity
  0.05    0.000159          13        12           write
  0.05    0.000147          10        15        14 access
  0.04    0.000138           8        17           set_robust_list
  0.03    0.000093           6        15           prctl
  0.03    0.000087           4        20           getpid
  0.02    0.000076          19         4           getdents
  0.02    0.000075           5        16           clone
  0.02    0.000052           9         6           prlimit64
  0.01    0.000046           9         5           geteuid
  0.01    0.000042          21         2         2 connect
  0.01    0.000040          20         2           ftruncate
  0.01    0.000036           9         4           fcntl
  0.01    0.000034           9         4           fchdir
  0.01    0.000032          16         2           socket
  0.01    0.000029          10         3           clock_getres
  0.01    0.000026           9         3           uname
  0.01    0.000024          12         2           getuid
  0.01    0.000018           6         3           brk
  0.00    0.000015           8         2           readlink
  0.00    0.000012          12         1         1 mkdir
  0.00    0.000011           4         3           pread64
  0.00    0.000011          11         1           getcwd
  0.00    0.000009           9         1           getgid
  0.00    0.000008           8         1           getegid
  0.00    0.000008           8         1           arch_prctl
  0.00    0.000008           8         1           set_tid_address
  0.00    0.000000           0         3           sched_yield
  0.00    0.000000           0         7           madvise
  0.00    0.000000           0         1           nanosleep
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           unlink
  0.00    0.000000           0         4           getrusage
------ ----------- ----------- --------- --------- ----------------
100.00    0.320843                  2347       206 total
