% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.06    0.248797         419       594       106 futex
  1.59    0.004154          11       364           mmap
  0.70    0.001831           6       332           mprotect
  0.40    0.001052           8       135        51 openat
  0.37    0.000973           4       241           gettid
  0.28    0.000720          10        69           read
  0.24    0.000635           7        86           close
  0.23    0.000599           7        86           fstat
  0.12    0.000319          10        32           munmap
  0.10    0.000271           5        56           rt_sigprocmask
  0.08    0.000208           5        38           sched_getaffinity
  0.08    0.000202           4        53           sysinfo
  0.07    0.000196          12        16           clone
  0.07    0.000178           9        20           lseek
  0.07    0.000177          15        12           write
  0.06    0.000161           5        33         1 lstat
  0.06    0.000147           3        50        34 stat
  0.06    0.000145           6        25           rt_sigaction
  0.05    0.000127           8        15           prctl
  0.04    0.000110           6        17           set_robust_list
  0.04    0.000108           5        20           getpid
  0.02    0.000053          18         3           pread64
  0.02    0.000051           7         7           madvise
  0.02    0.000050           3        15        14 access
  0.02    0.000047          47         1           unlink
  0.02    0.000046          23         2         2 connect
  0.02    0.000045           8         6           prlimit64
  0.02    0.000044          22         2           ftruncate
  0.02    0.000044          11         4           getdents
  0.02    0.000041          10         4           fchdir
  0.01    0.000036           9         4           fcntl
  0.01    0.000035          35         1           nanosleep
  0.01    0.000034          17         2           socket
  0.01    0.000034           7         5           geteuid
  0.01    0.000023           8         3           uname
  0.00    0.000012          12         1         1 mkdir
  0.00    0.000011          11         1           getcwd
  0.00    0.000010           3         3           clock_getres
  0.00    0.000008           4         2           getuid
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         3           sched_yield
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           readlink
  0.00    0.000000           0         4           getrusage
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    0.261734                  2377       209 total
